ST	dinB	icdA	pabB	polB	putP	trpA	trpB	uidA
1521	8	28	7	3	7	1	267	2
1522	9	134	251	134	4	72	1	9
1523	87	445	4	10	78	29	2	5
1524	4	446	1	6	2	2	1	1
1525	23	9	8	12	9	292	7	13
1526	47	3	3	10	5	57	4	2
1527	235	43	31	33	8	3	5	11
1528	1	1	2	1	1	293	3	1
1529	9	134	74	134	4	72	268	9
1530	4	19	1	6	281	2	1	1
1531	7	3	4	10	6	7	4	2
1532	25	160	3	10	5	57	4	5
1533	236	4	6	4	1	21	1	1
1534	237	1	15	7	4	9	6	9
1535	154	42	38	39	38	37	269	48
1536	1	447	74	112	4	294	1	27
1537	18	38	32	269	9	22	10	11
1538	8	2	252	3	7	1	4	2
1539	25	445	3	10	282	57	4	68
1540	238	448	253	270	283	12	270	109
1541	13	420	11	16	284	295	271	19
1542	10	28	4	3	18	1	272	2
1543	87	3	4	10	78	29	2	5
1544	64	449	129	21	175	12	138	11
1545	82	34	4	10	84	1	4	4
1546	4	450	1	6	2	2	1	1
1547	14	23	2	55	181	18	46	1
1548	239	451	126	271	285	296	273	127
1549	45	43	129	272	30	12	258	308
1550	32	37	48	52	74	8	2	65
1551	2	1	6	4	1	297	1	1
1552	1	1	2	1	286	2	3	1
1553	240	47	4	119	287	8	2	65
1554	2	7	1	9	2	298	1	6
1555	35	52	182	39	38	299	274	35
1556	2	4	6	4	1	300	1	1
1557	4	138	1	1	2	98	102	1
1558	9	134	74	134	4	72	275	9
1559	3	68	5	11	8	3	5	3
1560	241	3	3	27	78	7	4	5
1561	1	452	9	8	2	10	1	7
1562	32	3	3	10	74	301	2	65
1563	7	33	18	2	5	28	2	309
1564	207	2	3	3	18	1	4	2
1565	1	4	73	55	288	18	46	1
1566	27	13	1	4	289	32	1	6
1567	1	24	1	9	20	20	1	6
1568	1	1	2	273	1	2	3	1
1569	242	7	1	9	20	20	1	6
1570	9	1	15	7	4	9	276	9
1571	243	18	72	31	2	20	1	73
1572	4	18	10	274	2	4	1	6
1573	2	14	12	1	3	5	3	8
1574	88	161	74	112	4	19	1	310
1575	16	453	74	134	4	180	6	9
1576	4	25	1	6	2	302	1	1
1577	63	26	254	28	1	18	1	8
1578	10	454	3	3	18	1	4	2
1579	244	3	48	10	26	57	4	90
1580	14	14	14	29	290	4	1	15
1581	64	455	129	21	175	303	138	11
1582	1	23	2	1	1	2	3	1
1583	9	456	74	134	4	72	1	9
1584	3	8	5	11	8	304	5	3
1585	10	47	255	17	5	8	2	2
1586	18	12	17	14	14	305	14	14
1587	5	208	138	56	6	29	2	58
1588	10	2	3	3	7	1	277	2
1589	245	104	7	3	7	252	4	2
1590	1	1	2	1	1	306	3	1
1591	7	306	18	2	5	8	2	2
1592	7	33	18	275	5	8	2	2
1593	32	65	48	10	5	8	2	5
1594	4	201	10	5	2	4	1	6
1595	2	457	6	4	1	6	1	1
1596	32	37	3	206	74	301	2	65
1597	16	1	16	81	4	72	1	311
1598	12	40	24	276	13	24	8	29
1599	8	28	7	3	7	1	4	312
1600	7	65	4	10	5	8	2	5
1601	246	458	4	10	16	8	2	2
1602	25	442	4	10	78	29	2	5
1603	12	40	24	19	13	24	8	313
1604	32	47	4	10	291	307	4	5
1605	14	26	34	38	292	2	27	31
1606	25	91	107	10	71	57	4	2
1607	17	459	8	239	293	12	9	11
1608	21	460	3	52	294	308	134	2
1609	32	170	3	10	78	8	2	2
1610	3	8	5	11	8	3	5	314
1611	32	65	3	10	16	7	4	57
1612	12	271	24	277	13	24	8	3
1613	8	104	7	18	7	1	4	2
1614	87	160	4	10	78	29	2	5
1615	18	8	112	94	66	12	13	32
1616	1	7	1	9	2	20	278	6
1617	1	74	2	59	2	18	279	60
1618	23	9	8	12	9	11	7	315
1619	1	7	1	9	20	20	1	316
1620	1	128	103	4	2	2	280	157
1621	2	11	23	15	295	15	10	12
1622	6	461	4	2	6	7	2	4
1623	17	9	28	12	9	309	9	11
1624	5	3	3	2	78	29	2	103
1625	247	9	25	109	9	22	281	13
1626	248	1	6	4	1	6	1	1
1627	17	462	90	21	30	310	12	37
1628	34	195	11	35	296	67	26	43
1629	4	463	256	182	297	6	1	6
1630	118	26	2	1	3	5	3	317
1631	31	128	2	28	43	4	1	6
1632	14	14	14	82	2	311	1	15
1633	50	47	3	10	6	8	2	30
1634	65	464	139	19	12	24	145	80
1635	11	309	4	3	15	1	282	16
1636	9	1	15	7	4	9	6	318
1637	249	8	5	11	8	3	5	3
1638	4	465	2	278	2	4	1	56
1639	35	346	67	279	38	101	283	319
1640	154	67	47	39	298	41	205	320
1641	1	128	2	31	21	4	1	6
1642	10	28	7	18	18	26	284	2
1643	87	47	48	10	6	7	4	65
1644	250	4	6	4	1	6	1	1
1645	9	1	15	280	4	9	6	9
1646	5	65	4	52	16	57	4	30
1647	88	17	175	228	4	199	173	27
1648	3	8	5	11	8	3	5	321
1649	251	9	8	12	9	11	7	13
1650	63	26	2	28	299	18	1	8
1651	102	4	6	4	2	6	1	1
1652	9	4	15	7	4	9	6	9
1653	252	26	2	28	1	18	1	8
1654	253	2	7	3	7	1	4	2
1655	1	26	9	8	2	10	1	322
1656	34	466	157	35	27	174	156	43
1657	254	467	117	281	300	312	285	323
1658	25	65	3	10	26	53	4	324
1659	9	468	15	7	4	9	6	9
1660	1	1	2	1	1	2	286	1
1661	8	2	257	3	7	1	4	2
1662	10	42	210	39	38	23	20	35
1663	2	4	6	282	1	6	1	1
1664	9	134	74	134	4	72	1	325
1665	255	29	7	3	241	1	4	2
1666	1	26	9	8	2	10	1	326
1667	9	134	258	134	4	72	1	9
1668	256	469	4	52	301	313	233	156
1669	7	33	18	2	5	8	287	2
1670	3	470	5	11	8	3	5	3
1671	31	471	24	36	12	67	26	10
1672	110	23	125	1	2	20	1	327
1673	11	3	4	3	302	1	4	16
1674	32	47	48	119	16	7	4	113
1675	50	47	3	10	5	314	2	55
1676	8	472	7	3	7	1	288	2
1677	1	136	2	283	21	4	1	6
1678	2	4	6	4	1	6	289	1
1679	257	211	132	140	92	142	1	136
1680	106	41	128	138	158	202	197	38
1681	64	252	129	21	175	210	138	11
1682	118	473	174	183	4	9	170	27
1683	1	146	259	1	2	32	27	237
1684	66	474	260	16	12	315	290	19
1685	2	48	261	82	127	18	46	1
1686	258	475	262	284	30	316	291	328
1687	26	9	263	21	303	12	258	329
1688	1	255	10	31	304	143	292	6
1689	64	252	129	21	305	12	138	11
1690	64	476	40	11	161	16	12	109
1691	9	1	15	7	4	9	6	330
1692	32	3	4	285	78	29	2	57
1693	83	28	110	3	18	1	293	40
1694	259	47	3	10	5	8	2	55
1695	9	1	15	7	306	9	6	9
1696	260	4	6	4	307	6	1	1
1697	5	65	3	52	16	8	2	30
1698	102	27	6	4	308	6	1	1
1699	4	128	173	182	181	2	168	1
1700	1	477	2	59	2	18	1	60
1701	2	134	6	4	1	21	1	1
1702	261	2	3	3	18	1	4	331
1703	2	7	1	9	2	20	1	6
1704	262	25	9	8	2	10	1	7
1705	10	478	11	286	309	174	294	125
1706	17	380	264	109	242	12	9	332
1707	4	197	72	82	2	20	1	6
1708	32	479	4	10	16	7	4	5
1709	27	13	1	4	2	32	1	333
1710	32	37	48	10	16	57	4	65
1711	32	238	3	10	78	8	2	50
1712	1	1	2	1	310	2	3	1
1713	4	19	1	6	3	2	1	1
1714	18	12	17	14	14	317	14	13
1715	8	2	7	3	7	318	4	2
1716	1	1	2	1	1	319	22	1
1717	21	3	3	133	16	31	295	2
1718	1	1	265	1	1	2	3	1
1719	16	99	174	112	2	9	170	75
1720	10	28	266	18	311	1	4	2
1721	8	2	7	3	131	1	296	334
1722	263	37	4	10	78	8	2	2
1723	32	480	48	52	74	57	4	65
1724	1	146	259	287	2	32	27	237
1725	218	39	99	288	312	320	297	335
1726	5	481	4	52	84	1	4	66
1727	6	3	3	25	313	7	4	2
1728	5	3	107	289	78	321	298	2
1729	264	104	7	3	7	1	4	2
1730	8	2	7	290	22	1	4	2
1731	5	3	4	10	78	1	2	336
1732	4	19	267	6	2	2	1	1
1733	5	47	4	56	6	322	2	58
1734	5	47	4	56	6	322	2	337
1735	6	482	268	2	6	7	2	4
1736	6	3	269	25	6	7	4	2
1737	25	3	3	10	78	29	2	338
1738	264	104	7	3	314	1	4	2
1739	10	3	4	83	315	1	4	190
1740	265	47	3	10	5	8	2	50
1741	266	2	7	3	7	1	4	2
1742	10	28	66	100	16	1	299	23
1743	14	26	14	291	2	73	218	1
1744	82	3	3	292	78	323	4	4
1745	59	110	88	293	93	84	86	83
1746	267	104	7	3	7	1	296	2
1747	50	47	217	10	26	53	4	339
1748	82	3	3	292	78	137	4	4
1749	6	5	3	2	6	7	300	4
1750	268	3	3	292	78	137	4	4
1751	25	3	4	294	6	57	4	2
1752	59	483	88	63	93	84	86	83
1753	48	484	4	10	26	7	2	20
1754	25	3	4	10	6	324	4	307
1755	269	3	3	10	5	8	2	5
1756	59	110	88	63	93	84	86	340
1757	270	255	270	295	2	325	1	341
1758	8	2	7	84	7	1	4	342
1759	25	65	271	10	26	53	4	65
1760	56	49	272	11	11	326	10	3
1761	38	318	41	22	38	327	19	42
1762	6	3	3	25	6	7	4	2
1763	8	29	7	235	7	1	4	2
1764	25	3	4	10	16	7	4	2
1765	10	28	7	18	18	26	4	2
1766	5	122	138	56	6	29	2	58
1767	18	8	52	94	8	12	13	32
1768	10	28	7	3	16	1	4	23
1769	50	47	3	10	5	7	4	30
1770	5	3	3	10	78	137	4	4
1771	109	47	4	56	6	29	2	58
1772	11	91	193	3	25	31	191	20
1773	25	3	4	68	5	1	16	103
1774	25	432	3	52	16	57	4	50
1775	2	3	3	227	5	8	2	5
1776	5	47	138	56	6	29	2	58
1777	42	336	49	48	34	47	39	45
1778	111	255	86	30	2	149	143	6
1779	32	47	3	10	5	7	4	5
1780	35	67	38	39	28	37	29	42
1781	5	47	48	68	5	8	2	2
1782	2	3	3	52	16	1	4	2
1783	32	47	48	10	16	7	4	5
1784	5	382	3	26	84	57	4	2
1785	35	42	21	22	38	27	19	17
1786	59	110	88	63	55	84	86	85
1787	8	2	107	3	7	1	4	2
1788	5	122	48	68	5	29	109	2
1789	6	5	7	2	6	7	2	4
1790	32	208	4	10	133	7	4	5
1791	10	28	66	100	16	1	4	23
1792	87	47	3	10	78	8	2	2
1793	84	47	3	52	78	190	2	50
1794	59	110	88	296	93	84	86	83
1795	50	65	273	10	16	8	2	55
1796	6	3	274	25	6	7	4	2
1797	5	47	4	2	74	7	2	343
1798	50	47	217	10	26	328	4	339
1799	5	485	4	56	6	29	2	344
1800	56	486	275	98	14	329	56	345
1801	2	3	3	10	316	8	2	5
1802	10	3	4	83	41	1	301	190
1803	50	65	276	2	5	111	2	2
1804	11	487	193	297	317	31	18	20
1805	271	91	193	3	25	31	191	20
1806	82	91	4	10	74	53	2	346
1807	25	3	277	10	16	7	4	2
1808	32	47	3	10	5	8	2	347
1809	8	2	107	298	7	1	4	2
1810	59	110	88	63	318	84	86	83
1811	60	290	4	10	26	330	302	55
1812	5	3	278	3	78	331	18	2
1813	4	77	279	5	2	4	1	6
1814	25	3	4	10	6	332	4	2
1815	5	485	4	56	319	333	2	58
1816	272	3	3	10	5	8	2	5
1817	6	3	3	25	6	7	4	348
1818	11	36	4	299	25	31	18	20
1819	5	488	4	146	78	1	4	55
1820	273	2	7	3	60	1	4	2
1821	5	47	280	56	6	29	2	58
1822	1	489	34	82	47	2	27	139
1823	21	218	3	146	160	1	303	2
1824	7	33	18	2	5	334	2	2
1825	25	490	48	10	16	58	4	2
1826	8	104	7	3	7	1	4	349
1827	274	491	281	300	320	335	304	350
1828	11	3	282	52	321	336	18	20
1829	196	492	52	12	14	13	11	249
1830	21	218	3	146	160	1	4	351
1831	275	493	283	210	322	23	305	352
1832	44	291	46	15	2	45	38	353
1833	47	65	48	10	323	57	4	5
1834	276	245	117	156	169	167	151	150
1835	96	175	117	301	139	125	122	116
1836	10	323	110	17	324	1	201	40
1837	277	47	3	10	5	8	2	2
1838	56	486	90	98	14	329	56	345
1839	24	31	3	26	325	337	2	2
1840	278	74	2	59	2	18	1	60
1841	1	494	284	59	2	18	1	60
1842	5	122	48	68	5	338	109	2
1843	8	2	7	17	7	1	4	354
1844	279	21	285	32	2	17	21	28
1845	82	3	3	292	78	339	4	4
1846	5	47	4	10	26	340	4	2
1847	21	218	3	146	326	1	4	2
1848	11	282	3	25	327	341	306	355
1849	24	31	3	26	325	179	2	2
1850	6	5	4	302	6	7	2	4
1851	32	47	3	303	78	190	2	50
1852	8	104	7	304	7	1	4	2
1853	259	495	3	305	16	178	157	2
1854	32	150	3	306	5	8	2	50
1855	38	318	41	22	38	342	19	42
1856	10	2	7	101	7	1	4	356
1857	5	496	4	111	328	8	2	65
1858	8	2	7	307	7	1	4	2
1859	5	497	3	26	329	7	4	55
1860	72	337	47	308	28	242	36	48
1861	280	75	3	10	16	8	48	55
1862	281	41	21	92	23	23	20	18
1863	60	290	4	10	330	57	4	55
1864	10	28	3	3	16	1	4	357
1865	2	3	286	10	5	8	2	5
1866	58	156	110	17	18	31	112	358
1867	6	3	3	309	6	7	4	2
1868	8	29	7	3	7	1	4	359
1869	59	110	88	63	93	84	86	360
1870	50	123	3	10	16	343	2	55
1871	282	498	287	310	214	232	86	40
1872	32	3	3	311	5	8	2	5
1873	283	37	3	206	78	8	2	65
1874	284	290	4	10	26	57	4	55
1875	285	499	182	312	331	344	307	40
1876	47	65	48	10	16	345	4	5
1877	6	3	3	25	6	7	308	2
1878	82	3	3	313	78	137	4	4
1879	5	3	4	52	84	1	4	361
1880	6	3	3	25	6	346	4	2
1881	286	3	4	10	6	57	4	307
1882	25	3	4	10	6	57	4	362
1883	4	77	279	314	2	4	1	6
1884	153	500	51	214	332	41	205	36
1885	44	291	46	15	2	347	38	54
1886	32	150	3	315	5	348	2	50
1887	67	124	86	30	333	102	1	6
1888	287	248	117	159	172	170	154	154
1889	25	65	48	10	16	349	4	5
1890	288	156	110	17	18	31	112	2
1891	5	3	4	52	334	1	4	66
1892	25	65	3	316	26	53	4	65
1893	289	5	3	2	6	7	2	4
1894	290	110	88	63	93	84	86	83
1895	5	47	288	68	5	29	109	2
1896	105	42	67	317	28	350	309	35
1897	32	47	3	10	5	351	2	50
1898	59	110	88	63	93	84	310	83
1899	291	5	4	2	6	7	2	4
1900	5	47	4	56	6	322	311	337
1901	50	75	289	10	16	8	2	55
1902	84	501	3	52	84	7	4	50
1903	60	3	3	26	16	352	116	110
1904	25	3	4	318	6	57	4	307
1905	126	502	117	159	172	170	154	154
1906	32	47	48	10	74	353	2	65
1907	60	37	4	10	5	31	312	363
1908	292	503	3	256	16	1	4	364
1909	50	47	3	10	5	7	313	30
1910	32	47	3	10	78	354	2	50
1911	25	3	4	10	6	57	4	307
1912	181	337	67	39	38	299	274	35
1913	32	65	3	10	16	7	57	5
1914	8	104	7	3	7	1	296	2
1915	25	47	3	26	78	8	2	21
1916	25	445	107	10	71	29	2	57
1917	1	274	2	59	2	18	1	60
1918	82	37	3	292	5	28	2	55
1919	14	26	14	82	2	73	218	1
1920	56	281	176	12	9	200	175	365
1921	218	39	99	288	312	320	297	366
1922	10	504	110	17	324	1	201	40
1923	293	3	3	26	16	108	4	2
1924	6	3	3	25	6	355	4	2
1925	21	218	3	146	160	356	4	2
1926	10	28	290	3	131	1	4	23
1927	44	291	46	15	2	357	38	54
1928	294	41	21	92	23	23	20	18
1929	295	3	3	10	5	8	2	5
1930	296	33	18	2	5	8	2	2
1931	60	3	3	26	16	358	116	110
1932	6	5	4	320	6	7	2	4
1933	5	47	4	2	74	7	2	2
1934	25	3	291	294	6	57	4	2
1935	10	148	3	321	18	1	4	23
1936	2	237	23	15	335	15	10	12
1937	5	47	48	68	5	205	109	2
1938	10	2	7	18	7	1	4	2
1939	8	2	7	3	7	1	314	2
1940	5	47	4	68	74	29	2	2
1941	264	375	7	3	7	1	4	2
1942	17	505	90	12	336	359	315	367
1943	10	29	7	3	7	1	316	2
1944	10	2	7	322	7	1	4	2
1945	6	6	4	323	6	7	2	4
1946	8	2	7	235	7	1	4	2
1947	25	65	3	10	337	53	4	65
1948	2	11	23	15	10	360	10	12
1949	9	1	15	7	338	9	6	9
1950	2	506	23	15	10	15	10	12
1951	88	507	127	76	4	72	1	9
1952	32	37	48	324	74	57	4	65
1953	297	323	110	17	339	1	4	40
1954	87	65	48	10	74	7	4	65
1955	10	29	7	3	240	1	4	368
1956	25	3	107	10	5	109	2	57
1957	32	47	4	10	16	7	317	5
1958	50	508	3	2	5	7	4	55
1959	2	11	292	15	340	15	10	12
1960	10	2	7	52	7	1	4	2
1961	10	239	3	3	7	1	4	2
1962	10	2	7	101	7	361	4	2
1963	6	6	4	105	6	7	2	4
1964	76	2	7	325	60	1	4	2
1965	47	509	3	26	16	53	2	50
1966	10	177	7	3	7	1	4	2
1967	10	2	293	17	18	1	4	5
1968	87	47	4	10	26	8	2	2
1969	82	3	3	10	125	362	2	2
1970	8	2	294	3	7	1	4	2
1971	298	239	7	3	7	1	4	2
1972	10	292	7	3	7	1	4	2
1973	10	239	3	17	18	1	4	40
1974	25	3	4	10	78	29	318	5
1975	299	2	3	3	7	1	4	2
1976	5	510	4	10	16	8	2	2
1977	10	3	4	83	41	1	319	369
1978	8	2	7	3	7	363	4	2
1979	10	3	4	83	41	1	237	2
1980	300	2	7	326	7	1	4	2
1981	82	3	3	10	125	111	2	370
1982	11	3	4	3	15	1	4	371
1983	5	37	4	10	16	8	2	372
1984	23	9	52	51	39	52	44	49
1985	50	47	18	10	5	8	2	30
1986	301	31	4	26	16	29	2	2
1987	5	511	7	52	84	1	4	2
1988	10	2	7	327	60	1	4	2
1989	10	148	7	17	7	1	4	23
1990	8	512	7	52	7	1	4	2
1991	58	199	3	3	16	185	320	2
1992	8	2	7	328	7	364	4	2
1993	83	42	21	22	19	27	19	17
1994	302	2	7	3	7	1	4	2
1995	10	3	7	100	41	1	4	23
1996	5	47	4	2	26	1	4	373
1997	10	28	4	3	18	365	4	2
1998	25	91	3	2	16	7	2	4
1999	10	148	3	3	18	1	4	101
2000	10	3	4	101	41	1	57	252
2001	20	42	21	22	19	27	321	17
2002	24	31	295	26	16	29	2	2
2003	64	429	129	21	175	12	138	374
2004	10	148	3	100	18	1	4	101
2005	10	104	7	3	7	252	4	2
2006	25	47	108	329	16	57	4	50
2007	87	160	4	10	78	29	322	5
2008	10	2	296	3	7	1	4	2
2009	303	312	195	13	8	12	9	3
2010	5	513	48	68	5	29	109	2
2011	24	514	3	26	16	108	4	2
2012	2	73	2	55	43	18	323	1
2013	25	37	297	52	16	7	4	2
2014	10	148	3	3	18	366	4	23
2015	32	123	3	10	16	7	4	5
2016	304	310	178	210	214	43	36	40
2017	305	42	21	22	19	27	19	17
2018	306	290	4	330	26	57	4	55
2019	2	3	4	331	71	57	4	2
2020	8	2	298	332	7	1	4	2
2021	10	2	3	3	7	1	324	4
2022	50	91	3	10	5	8	2	30
2023	7	3	3	68	74	7	4	375
2024	60	290	241	10	16	57	4	2
2025	12	515	24	19	13	24	325	3
2026	50	47	299	10	5	7	326	30
2027	5	31	4	68	16	29	2	2
2028	6	6	4	166	6	367	2	4
2029	7	47	4	10	26	7	4	2
2030	25	47	108	52	16	57	4	50
2031	6	6	4	2	341	7	2	4
2032	47	205	3	10	5	57	4	2
2033	10	2	7	101	7	1	4	2
2034	151	264	41	214	38	27	19	194
2035	25	3	4	2	16	56	327	4
2036	32	47	4	10	342	7	4	5
2037	25	293	108	52	16	57	4	50
2038	7	33	18	2	5	368	2	2
2039	5	47	3	10	16	8	2	30
2040	5	65	4	10	16	53	328	113
2041	307	2	3	18	7	1	4	2
2042	308	45	11	333	27	369	1	43
2043	60	516	4	10	16	57	329	55
2044	160	29	7	334	7	1	4	2
2045	309	47	4	10	6	7	4	55
2046	50	47	3	10	5	370	4	30
2047	57	2	7	3	60	371	4	23
2048	310	160	4	285	78	29	2	57
2049	10	2	7	3	18	1	4	376
2050	10	2	30	3	7	1	4	23
2051	10	3	4	335	41	1	4	2
2052	57	517	7	3	60	372	4	23
2053	6	5	3	2	6	373	2	4
2054	2	11	300	15	10	15	10	12
2055	9	1	15	7	4	9	330	9
2056	311	2	7	3	18	1	4	376
2057	312	2	3	52	327	374	2	2
2058	8	148	3	3	18	1	4	23
2059	2	11	23	15	10	15	331	12
2060	31	518	11	35	27	67	26	125
2061	46	47	3	10	159	375	157	377
2062	10	28	221	3	18	1	4	23
2063	11	413	7	3	18	1	241	378
2064	24	31	4	26	16	29	332	2
2065	25	47	3	52	16	57	4	50
2066	25	519	48	10	16	8	2	2
2067	7	47	3	52	74	7	333	30
2068	191	520	3	3	166	1	4	2
2069	32	309	4	10	26	376	2	5
2070	25	65	48	10	78	8	2	2
2071	309	3	4	2	16	7	2	379
2072	10	2	3	17	343	377	4	2
2073	32	65	4	10	5	378	2	5
2074	25	91	4	10	78	29	2	5
2075	35	42	47	39	28	37	115	46
2076	104	47	3	10	78	8	2	380
2077	7	521	3	68	74	7	4	5
2078	82	47	4	10	74	7	4	55
2079	5	522	3	26	5	1	2	5
2080	10	269	7	3	60	1	4	23
2081	23	9	8	12	2	11	7	13
2082	87	205	18	10	5	8	2	30
2083	10	2	7	101	7	1	4	381
2084	7	37	4	10	26	7	4	382
2085	32	309	4	10	26	8	2	5
2086	10	28	4	3	311	1	4	2
2087	126	523	117	159	172	312	285	154
2088	82	3	3	336	78	137	4	4
2089	313	3	3	10	5	8	2	5
2090	25	524	4	10	6	57	4	2
2091	314	160	282	52	321	336	18	20
2092	8	2	7	3	7	1	4	383
2093	6	3	3	337	6	7	4	2
2094	32	47	4	10	16	7	334	5
2095	2	525	23	15	10	15	10	12
2096	82	3	3	10	125	379	2	2
2097	315	2	7	3	7	1	4	2
2098	10	2	7	338	60	1	4	2
2099	10	148	3	339	18	1	4	23
2100	316	33	18	2	5	28	2	2
2101	11	3	4	3	344	1	4	16
2102	25	3	107	10	7	109	2	57
2103	8	104	7	3	7	380	4	2
2104	10	2	302	3	7	1	4	2
2105	6	5	4	340	6	7	2	4
2106	7	33	18	341	5	28	2	309
2107	25	3	4	68	5	1	16	384
2108	10	2	3	52	7	1	4	385
2109	50	526	3	10	5	29	2	88
2110	10	28	7	18	18	1	335	23
2111	8	2	7	3	7	1	336	2
2112	31	527	11	3	27	67	26	125
2113	10	2	303	3	166	1	4	2
2114	5	37	4	10	78	8	96	30
2115	9	1	15	7	4	9	337	9
2116	18	143	112	233	14	13	11	32
2117	50	413	3	156	5	57	4	5
2118	165	348	66	221	211	41	40	278
2119	317	2	7	3	18	1	4	23
2120	87	3	4	342	345	381	4	103
2121	10	375	3	3	166	1	4	2
2122	7	33	18	2	5	28	338	2
2123	46	41	41	39	38	55	339	38
2124	8	2	304	3	18	1	4	2
2125	10	28	4	53	18	1	4	2
2126	160	29	3	3	7	1	4	2
2127	10	28	3	3	346	382	4	23
2128	24	31	4	26	347	29	2	2
2129	10	148	3	3	348	1	4	23
2130	10	28	4	3	18	1	132	2
2131	10	417	3	257	18	1	4	2
2132	5	47	48	10	5	8	2	386
2133	10	148	3	3	18	1	340	23
2134	22	325	214	39	38	101	283	35
2135	318	265	7	101	240	1	341	2
2136	8	148	7	52	259	1	4	2
2137	3	8	305	11	8	3	342	3
2138	1	401	2	1	349	2	3	1
2139	10	528	7	343	18	1	4	2
2140	10	2	7	343	18	1	4	2
2141	83	529	3	3	18	1	110	156
2142	25	530	48	52	16	57	4	387
2143	64	2	226	21	259	1	4	259
2144	76	512	7	3	259	1	4	2
2145	11	2	7	3	18	383	4	2
2146	10	31	4	26	16	29	2	2
2147	10	2	7	344	7	1	4	2
2148	25	531	3	2	16	7	2	5
2149	10	28	4	83	350	1	4	2
2150	7	33	18	3	5	8	2	2
2151	6	6	4	345	6	7	2	4
2152	32	47	4	10	16	384	4	5
2153	319	2	7	101	7	1	4	381
2154	8	2	307	3	7	1	4	2
2155	2	11	23	15	340	15	10	12
2156	10	351	4	83	41	1	4	2
2157	10	2	3	3	7	1	4	388
2158	10	2	7	3	351	1	4	23
2159	5	37	4	10	5	8	2	30
2160	160	2	3	3	60	1	4	2
2161	10	2	7	346	7	1	4	2
2162	25	47	108	347	16	57	4	50
2163	46	86	21	10	16	7	4	2
2164	6	6	4	2	352	7	2	4
2165	6	532	3	2	6	7	2	4
2166	10	28	308	3	18	1	4	2
2167	10	2	7	348	7	1	4	2
2168	24	31	4	26	16	29	343	2
2169	10	2	7	18	7	31	2	2
2170	10	2	309	3	353	385	4	2
2171	10	415	3	18	16	1	4	40
2172	76	533	7	3	60	1	4	2
2173	5	65	3	10	5	8	2	30
2174	5	516	4	10	84	1	4	389
2175	8	2	7	3	354	1	4	2
2176	10	3	310	83	41	1	4	2
2177	10	413	7	18	259	1	241	23
2178	10	2	7	18	60	386	4	2
2179	11	28	226	3	249	1	4	40
2180	10	28	182	100	18	1	4	2
2181	76	2	311	3	60	1	4	2
2182	320	2	7	3	355	1	4	2
2183	10	392	3	247	18	1	4	390
2184	11	3	312	3	302	1	4	16
2185	8	2	313	84	7	1	4	2
2186	82	65	18	10	74	57	4	50
2187	10	2	7	3	7	31	2	2
2188	76	534	3	3	356	1	4	2
2189	215	535	7	3	18	1	4	23
2190	10	28	7	17	16	1	4	2
2191	10	536	242	349	16	387	344	40
2192	10	2	3	3	7	1	4	101
2193	10	2	7	18	259	1	4	2
2194	10	2	221	18	357	1	4	2
2195	10	28	314	350	354	1	345	23
2196	321	41	214	216	38	23	346	320
2197	10	28	4	3	232	1	4	2
2198	5	37	4	10	78	301	2	30
2199	10	3	4	83	41	1	4	391
2200	10	416	242	256	16	1	4	364
2201	7	37	315	10	26	7	4	2
2202	24	31	4	26	16	29	347	2
2203	7	33	18	2	5	8	2	392
2204	215	2	7	3	18	1	4	23
2205	25	445	4	10	78	29	2	5
2206	87	47	4	10	16	7	4	65
2207	58	156	110	351	16	31	112	40
2208	24	31	4	26	359	29	2	2
2209	10	2	147	3	7	276	243	2
2210	8	2	7	3	259	389	4	2
2211	25	123	316	10	26	53	4	65
2212	8	28	7	3	259	1	4	393
2213	24	31	317	26	16	29	2	2
2214	8	2	7	3	7	1	243	2
2215	6	3	3	52	78	1	348	2
2216	10	28	4	3	18	390	4	2
2217	10	29	3	99	360	1	4	23
2218	322	150	3	10	5	8	2	50
2219	323	31	4	26	26	29	2	2
2220	87	174	4	10	78	29	2	5
2221	2	237	23	352	10	15	10	12
2222	10	29	7	3	238	1	4	2
2223	10	148	318	3	18	1	4	23
2224	8	239	7	3	7	1	4	394
2225	8	2	7	353	7	1	4	2
2226	10	2	7	354	7	1	4	2
2227	10	3	3	3	18	140	4	2
2228	11	148	3	355	18	1	4	23
2229	8	28	7	3	7	1	349	2
2230	5	3	3	10	78	1	4	2
2231	324	2	226	100	18	1	4	259
2232	32	47	4	119	78	8	2	65
2233	8	28	7	3	7	391	349	2
2234	32	47	4	10	16	392	4	5
2235	325	31	4	26	361	29	2	2
2236	76	533	7	3	355	1	4	2
2237	216	2	3	100	259	1	4	2
2238	21	3	4	26	16	1	4	110
2239	10	2	3	3	18	1	350	2
2240	11	28	319	3	18	393	4	78
2241	50	3	3	10	362	57	4	5
2242	11	148	3	3	18	394	4	23
2243	151	41	41	197	200	27	19	40
2244	32	47	3	10	16	7	4	2
2245	32	47	3	10	78	7	4	2
2246	35	42	21	22	19	27	19	17
2247	11	196	4	17	18	1	4	78
2248	326	3	107	10	71	109	2	57
2249	76	538	98	356	178	37	36	395
2250	24	31	4	26	16	29	351	2
2251	10	265	3	3	7	1	352	2
2252	76	2	7	3	363	1	4	2
2253	10	3	3	3	7	1	4	2
2254	327	3	4	83	364	1	4	2
2255	87	123	3	10	74	8	353	2
